序号,股票名,ticker,一级行业分类,二级行业分类,买入日期,卖出日期,买入价格(前复权,卖出价格(前复权,涨幅
1,艾可蓝,300816,汽车,汽车零部件,2022-07-15,2022-07-27,27.67,30.93,11.78%
2,凯迪股份,605288,电气设备,电气自动化设备,2022-07-18,2022-07-21,37.49,41.17,9.82%
3,山水比德,300844,建筑装饰,园林工程,2022-07-14,2022-07-20,27.64,27.81,0.62%
4,电声股份,300805,传媒,营销传播,2022-07-18,2022-07-19,7.77,8.02,3.22%
5,雷尔伟,301016,机械设备,运输设备,2022-06-16,2022-07-19,17.93,23.99,33.80%
6,德固特,300950,机械设备,专用设备,2022-06-30,2022-07-18,16.36,16.84,2.93%
7,金百泽,301041,电子,元件,2022-07-11,2022-07-18,18.46,18.51,0.27%
8,崧盛股份,301002,电子,光学光电子,2022-07-07,2022-07-15,24.17,25.43,5.21%
9,上海凯鑫,300899,公用事业,环保工程及服务,2022-06-24,2022-07-14,21.96,22.21,1.14%
10,金春股份,300877,纺织服装,纺织制造,2022-06-01,2022-07-11,16.10,16.08,-0.12%
1,凯龙高科,300912,汽车,汽车零部件,2022-03-09,2022-06-24,18.05,20.35,12.74%
2,贝仕达克,300822,电子,电子制造,2022-04-28,2022-06-23,13.10,16.77,28.01%
3,智云股份,300097,机械设备,专用设备,2022-05-13,2022-06-21,5.08,5.77,13.58%
4,线上线下,300959,通信,通信运营,2022-06-10,2022-06-16,30.12,31.50,4.58%
5,英诺激光,301021,电子,其他电子,2022-06-06,2022-06-10,26.28,24.14,-8.14%
6,德固特,300950,机械设备,专用设备,2022-04-26,2022-06-08,14.38,16.17,12.48%
7,嘉亨家化,300955,轻工制造,包装印刷,2022-05-25,2022-06-06,21.34,23.82,11.62%
8,凯迪股份,605288,电气设备,电气自动化设备,2022-05-11,2022-06-01,34.23,35.80,4.59%
9,艾可蓝,300816,汽车,汽车零部件,2022-03-08,2022-05-25,38.45,27.31,-28.97%
10,神马电力,603530,电气设备,高低压设备,2022-04-21,2022-05-20,11.01,11.28,2.43%
1,凯迪股份,605288,电气设备,电气自动化设备,2022-05-11,2022-06-01,34.23,35.80,4.59%
2,艾可蓝,300816,汽车,汽车零部件,2022-03-08,2022-05-25,38.45,27.31,-28.97%
3,神马电力,603530,电气设备,高低压设备,2022-04-21,2022-05-20,11.11,11.38,2.43%
4,宇顺电子,002289,电子,光学光电子,2022-05-11,2022-05-18,5.20,5.81,11.73%
5,恒宇信通,300965,国防军工,航空装备,2022-04-29,2022-05-13,41.11,46.16,12.28%
6,中英科技,300936,电子,元件,2022-03-24,2022-05-11,30.87,34.62,12.14%
7,润阳科技,300920,化工,塑料,2022-04-20,2022-05-11,21.49,21.28,-0.94%
8,同益股份,300538,化工,塑料,2022-03-31,2022-04-29,15.67,10.96,-30.06%
9,南大环境,300864,公用事业,环保工程及服务,2022-04-19,2022-04-28,31.53,30.29,-3.93%
10,百川畅银,300614,公用事业,环保工程及服务,2022-04-22,2022-04-26,27.02,24.07,-10.92%
1,宝丽迪,300905,化工,塑料,2022-03-25,2022-04-01,20.44,21.26,4.01%
2,时空科技,605178,建筑装饰,装修装饰,2022-03-24,2022-03-31,25.28,24.86,-1.66%
3,德利股份,605198,农林牧渔,农产品加工,2022-01-17,2022-03-28,19.71,15.87,-19.48%
4,金春股份,300877,纺织服装,纺织制造,2022-03-09,2022-03-25,20.58,21.80,5.93%
5,恒辉安防,300952,纺织服装,服装家纺,2022-03-16,2022-03-25,16.70,18.04,8.02%
6,北鼎股份,300824,家用电器,白色家电,2022-02-24,2022-03-24,16.90,16.55,-2.07%
7,凯迪股份,605288,电气设备,电气自动化设备,2022-01-27,2022-03-24,54.91,45.05,-17.96%
8,野马电池,605378,电气设备,电源设备,2022-03-08,2022-03-23,24.28,28.56,17.63%
9,贝仕达克,300822,电子,电子制造,2021-12-21,2022-03-16,22.65,18.41,-18.72%
10,名臣健康,002919,化工,化学制品,2022-03-07,2022-03-09,30.30,29.78,-1.72%
1,凯龙高科,300912,汽车,汽车零部件,2021-12-31,2022-02-24,24.09,21.78,-9.59%
2,宝明科技,002992,电子,光学光电子,2022-02-21,2022-02-24,12.57,13.68,8.83%
3,天元股份,003003,轻工制造,包装印刷,2022-01-13,2022-02-24,11.66,12.59,7.98%
4,科新发展,600234,综合,综合,2022-02-15,2022-02-21,8.97,9.56,6.58%
5,恒辉安防,300952,纺织服装,服装家纺,2022-02-11,2022-02-15,20.86,20.82,-0.19%
6,宝明科技,002992,电子,光学光电子,2022-02-10,2022-02-11,12.44,12.34,-0.80%
7,返利科技,600228,传媒,互联网传媒,2021-11-24,2022-02-10,6.98,8.64,23.78%
8,通用电梯,300931,机械设备,专用设备,2022-01-25,2022-02-08,9.80,9.99,1.94%
9,园林股份,605303,建筑装饰,园林工程,2022-01-26,2022-01-27,14.07,13.74,-2.35%
10,盈建科,300935,计算机,计算机应用,2022-01-25,2022-01-26,50.14,49.59,-1.10%
1,上海凯鑫,300899,公用事业,环保工程及服务,2021-12-28,2022-03-08,31.05,27.69,-10.82%
2,共创草坪,605099,轻工制造,其他轻工制造,2022-03-04,2022-03-08,29.97,30.21,0.80%
3,泰坦股份,003036,机械设备,专用设备,2022-02-08,2022-03-07,11.63,12.15,4.47%
4,中胤时尚,300901,纺织服装,服装家纺,2022-03-01,2022-03-04,11.35,11.52,1.50%
5,英力股份,300956,电子,电子制造,2022-02-24,2022-03-02,19.76,19.93,0.86%
6,长龄液压,605389,机械设备,通用机械,2022-02-24,2022-03-01,43.67,43.44,-0.53%
7,宝明科技,002992,电子,光学光电子,2022-02-21,2022-02-24,12.57,13.68,8.83%
8,天元股份,003003,轻工制造,包装印刷,2022-01-13,2022-02-24,11.66,12.59,7.98%
9,凯龙高科,300912,汽车,汽车零部件,2021-12-31,2022-02-24,24.09,21.78,-9.59%
10,科新发展,600234,综合,综合,2022-02-15,2022-02-21,8.97,9.56,6.58%
1,真爱美家,003041,纺织服装,服装家纺,2022-03-02,2022-03-09,21.26,19.36,-8.94%
2,名臣健康,002919,化工,化学制品,2022-03-07,2022-03-09,30.30,29.78,-1.72%
3,共创草坪,605099,轻工制造,其他轻工制造,2022-03-04,2022-03-08,29.97,30.21,0.80%
4,上海凯鑫,300899,公用事业,环保工程及服务,2021-12-28,2022-03-08,31.05,27.69,-10.82%
5,泰坦股份,003036,机械设备,专用设备,2022-02-08,2022-03-07,11.63,12.15,4.47%
6,中胤时尚,300901,纺织服装,服装家纺,2022-03-01,2022-03-04,11.35,11.52,1.50%
7,英力股份,300956,电子,电子制造,2022-02-24,2022-03-02,19.76,19.93,0.86%
8,长龄液压,605389,机械设备,通用机械,2022-02-24,2022-03-01,43.67,43.44,-0.53%
9,凯龙高科,300912,汽车,汽车零部件,2021-12-31,2022-02-24,24.09,21.78,-9.59%
10,宝明科技,002992,电子,光学光电子,2022-02-21,2022-02-24,12.57,13.68,8.83%
